District,Soil_Type,Crop_Type,Day_After_Sowing,Temperature(°C),Humidity(%),Rainfall(mm),Area_in_Acre,Water_Requirement(L/day)
Giridih,Laterite Soil,Sorghum,58,38.6,76.8,25.0,2.59,8246.0
Khunti,Sandy Loam,Millet,81,27.8,40.9,9.0,6.98,12553.0
Koderma,Gravelly Soil,Groundnut,86,20.9,52.0,33.6,8.12,12678.0
Chatra,Gravelly Soil,Millet,34,34.1,60.6,49.9,5.98,10774.0
Koderma,Clay Loam,Sesame,84,25.8,69.1,20.6,5.47,9865.0
Jamtara,Sandy Loam,Ragi,117,24.9,75.1,5.0,3.3,7837.0
Bokaro,Gravelly Soil,Sugarcane,22,26.5,50.5,15.9,9.14,20657.0
Latehar,Clay Loam,Linseed,149,34.5,81.8,44.6,7.67,11674.0
Jamtara,Gravelly Soil,Cotton,15,36.4,82.3,38.3,5.06,12165.0
Chatra,Laterite Soil,Wheat,133,31.8,71.7,11.6,6.76,13257.0
Hazaribagh,Alluvial Soil,Ragi,102,26.4,86.1,47.7,3.7,7203.0
Seraikela-Kharsawan,Clay Loam,Sunflower,145,26.2,80.6,31.1,1.07,5550.0
Gumla,Alluvial Soil,Sorghum,147,22.5,51.1,8.4,2.44,7589.0
Koderma,Sandy Loam,Maize,5,38.7,79.9,28.6,1.26,7361.0
Pakur,Laterite Soil,Barley,23,32.8,87.7,22.6,5.33,10227.0
Palamu,Clay Loam,Ragi,83,20.5,46.9,41.0,6.41,10633.0
Gumla,Sandy Loam,Mustard,14,33.2,88.9,17.2,4.11,8119.0
Dhanbad,Gravelly Soil,Millet,10,28.9,41.2,43.7,5.54,10520.0
Latehar,Black Soil,Sorghum,31,39.5,66.1,40.6,1.31,7065.0
Sahebganj,Red Sandy Soil,Linseed,141,36.4,78.7,33.7,7.81,12315.0
Bokaro,Sandy Loam,Rice,127,23.4,79.5,12.9,0.81,9207.0
Jamtara,Alluvial Soil,Mustard,37,34.4,76.7,48.5,6.53,10399.0
Palamu,Laterite Soil,Ragi,138,29.7,66.5,27.4,4.62,9447.0
Bokaro,Laterite Soil,Groundnut,31,23.7,72.5,45.4,2.25,6237.0
Hazaribagh,Sandy Loam,Rice,99,34.0,75.0,10.8,5.47,15104.0
Deoghar,Gravelly Soil,Sorghum,35,30.9,64.7,49.2,7.92,12685.0
Dumka,Red Sandy Soil,Rice,111,20.6,69.8,40.8,4.43,12280.0
Bokaro,Alluvial Soil,Rice,68,32.9,82.3,47.5,3.99,12561.0
Jamtara,Sandy Loam,Jowar,117,32.7,55.6,10.6,1.85,7740.0
Pakur,Sandy Loam,Mustard,126,22.9,66.2,21.5,6.15,9724.0
Hazaribagh,Black Soil,Sunflower,6,27.0,40.4,4.9,8.37,14660.0
Dumka,Laterite Soil,Groundnut,119,31.7,74.4,6.8,5.83,11332.0
Bokaro,Alluvial Soil,Maize,30,22.8,49.8,14.2,2.07,7772.0
Latehar,Red Sandy Soil,Cotton,69,37.1,64.1,47.6,6.78,14315.0
Lohardaga,Laterite Soil,Groundnut,108,20.5,50.5,33.4,0.79,5357.0
Gumla,Sandy Loam,Maize,35,22.1,41.2,15.7,8.46,14320.0
Palamu,Laterite Soil,Ragi,103,22.3,64.2,47.7,9.25,13000.0
Latehar,Laterite Soil,Ragi,44,30.6,61.2,37.0,6.17,11054.0
Palamu,Clay Loam,Maize,143,32.4,61.3,45.3,8.88,14575.0
Lohardaga,Laterite Soil,Linseed,29,28.1,50.4,46.4,1.3,5570.0
Simdega,Gravelly Soil,Rice,6,25.8,87.4,37.5,2.67,10578.0
Jamtara,Laterite Soil,Wheat,27,36.2,40.2,12.2,3.51,11380.0
Gumla,Gravelly Soil,Mustard,28,21.4,84.6,49.8,7.85,10156.0
Simdega,Alluvial Soil,Maize,133,25.6,76.8,16.3,5.1,10230.0
Chatra,Laterite Soil,Mustard,56,20.8,48.6,33.6,3.81,7460.0
Gumla,Red Sandy Soil,Sugarcane,112,20.3,63.6,42.2,2.0,11978.0
Simdega,Gravelly Soil,Jowar,54,27.1,89.4,8.8,8.2,12552.0
Ranchi,Gravelly Soil,Cotton,80,23.9,72.2,30.5,0.69,7004.0
Koderma,Sandy Loam,Sugarcane,105,25.4,46.4,18.8,3.7,15172.0
Chatra,Alluvial Soil,Maize,18,36.4,62.9,12.2,2.81,9519.0
Ranchi,Laterite Soil,Groundnut,43,23.3,63.4,0.6,1.73,6846.0
Pakur,Black Soil,Linseed,89,35.6,80.1,43.6,2.13,6315.0
Palamu,Red Sandy Soil,Mustard,74,33.5,85.8,6.8,5.19,9530.0
Godda,Sandy Loam,Sugarcane,10,26.5,44.1,43.9,4.55,15699.0
Khunti,Alluvial Soil,Mustard,134,30.9,55.7,30.0,5.42,9939.0
Sahebganj,Gravelly Soil,Sunflower,89,28.9,54.9,31.1,7.41,12931.0
Palamu,Red Sandy Soil,Jowar,132,22.6,89.8,41.4,8.98,12218.0
Dhanbad,Laterite Soil,Groundnut,34,38.1,68.0,25.5,1.63,7590.0
Dhanbad,Black Soil,Sugarcane,83,31.4,84.0,17.9,1.29,12252.0
Ranchi,Clay Loam,Mustard,132,37.6,61.3,6.9,3.54,9023.0
Giridih,Clay Loam,Sunflower,98,36.5,76.1,28.5,5.69,11387.0
Dumka,Alluvial Soil,Groundnut,31,21.6,54.3,27.7,1.45,6127.0
Koderma,Black Soil,Rice,80,24.1,85.6,14.7,7.3,15548.0
Chatra,Red Sandy Soil,Millet,60,22.9,62.8,30.0,5.78,9786.0
Koderma,Sandy Loam,Rice,2,36.6,80.2,22.0,7.61,17124.0
Chatra,Red Sandy Soil,Cotton,36,37.2,52.8,40.3,3.9,11930.0
Palamu,Black Soil,Maize,125,30.6,74.7,28.0,4.31,9769.0
Pakur,Gravelly Soil,Wheat,103,22.1,60.3,46.7,8.17,13337.0
Hazaribagh,Clay Loam,Sorghum,116,22.7,41.6,25.9,3.04,8144.0
Ranchi,Alluvial Soil,Millet,101,36.3,60.7,44.4,4.12,9241.0
Lohardaga,Laterite Soil,Sunflower,46,38.6,67.5,26.0,0.63,6845.0
Giridih,Red Sandy Soil,Maize,80,24.0,47.6,27.9,5.78,11394.0
Dhanbad,Clay Loam,Sunflower,107,20.2,49.2,18.3,8.59,13668.0
Pakur,Sandy Loam,Sugarcane,44,26.6,63.2,20.0,0.76,11824.0
Palamu,Alluvial Soil,Linseed,147,20.6,57.1,46.7,6.33,9643.0
Dhanbad,Laterite Soil,Sesame,49,36.6,62.0,11.2,8.53,14406.0
Ranchi,Red Sandy Soil,Cotton,88,29.8,63.0,6.1,5.19,12858.0
Dhanbad,Sandy Loam,Jowar,58,32.8,47.0,41.5,3.47,9010.0
Giridih,Laterite Soil,Cotton,91,28.2,49.1,28.8,9.97,17441.0
Gumla,Gravelly Soil,Sunflower,135,26.9,82.4,14.2,1.12,5954.0
Latehar,Clay Loam,Mustard,94,24.4,48.1,21.6,2.5,6765.0
Dhanbad,Gravelly Soil,Cotton,78,35.4,73.3,26.2,8.91,16427.0
Ranchi,Clay Loam,Sesame,122,33.9,60.9,29.6,3.32,8591.0
Giridih,Sandy Loam,Sesame,143,27.2,88.4,41.1,8.29,11836.0
Latehar,Gravelly Soil,Sugarcane,76,26.4,43.3,19.7,3.67,15317.0
Koderma,Clay Loam,Jowar,53,20.0,81.5,33.8,8.21,11589.0
Chatra,Alluvial Soil,Jowar,23,21.3,64.6,41.7,7.01,10868.0
Gumla,Sandy Loam,Sunflower,77,32.5,40.3,42.2,4.95,11047.0
Gumla,Clay Loam,Ragi,73,30.3,53.2,12.7,5.47,11050.0
Dumka,Red Sandy Soil,Sunflower,88,28.7,60.4,17.5,2.19,7798.0
Simdega,Clay Loam,Sesame,103,36.6,55.7,29.7,1.6,7295.0
Khunti,Gravelly Soil,Barley,94,30.1,58.1,44.3,7.31,12391.0
Koderma,Alluvial Soil,Cotton,60,27.7,85.8,39.5,8.56,14666.0
Sahebganj,Laterite Soil,Linseed,10,23.2,58.0,29.2,7.36,11256.0
Seraikela-Kharsawan,Laterite Soil,Sesame,102,36.4,60.9,49.2,9.17,14299.0
Bokaro,Clay Loam,Rice,58,31.5,78.1,21.9,8.96,18029.0
Giridih,Laterite Soil,Barley,143,21.8,79.7,42.1,7.89,11537.0
Koderma,Clay Loam,Barley,9,33.0,44.2,40.9,9.03,14886.0
Simdega,Alluvial Soil,Linseed,13,28.5,75.2,45.4,2.09,5676.0
Gumla,Laterite Soil,Sunflower,137,36.2,64.1,49.4,7.45,13059.0
Godda,Gravelly Soil,Sesame,131,38.4,46.7,24.8,7.66,13903.0
Bokaro,Gravelly Soil,Sugarcane,73,32.0,53.2,9.8,1.96,14068.0
Simdega,Red Sandy Soil,Millet,116,34.6,42.3,23.0,9.14,15071.0
Koderma,Clay Loam,Rice,125,21.1,58.0,42.7,0.58,8796.0
Khunti,Laterite Soil,Sunflower,111,31.2,52.8,41.8,4.63,10230.0
Hazaribagh,Gravelly Soil,Jowar,71,35.1,59.1,16.8,0.7,6601.0
Dumka,Black Soil,Sunflower,89,29.9,69.0,2.4,5.47,11242.0
Simdega,Alluvial Soil,Cotton,20,31.9,76.6,25.5,4.42,11502.0
Deoghar,Alluvial Soil,Barley,81,38.0,70.3,23.7,6.42,12337.0
Pakur,Black Soil,Maize,90,24.0,73.9,4.3,7.78,13077.0
Pakur,Black Soil,Ragi,19,22.0,83.3,39.7,7.8,11107.0
Seraikela-Kharsawan,Red Sandy Soil,Maize,112,33.8,83.7,14.2,7.36,13145.0
Godda,Alluvial Soil,Ragi,131,36.5,83.0,32.3,1.47,6384.0
Koderma,Alluvial Soil,Barley,107,37.0,47.7,5.1,4.47,11337.0
Ranchi,Laterite Soil,Ragi,121,32.8,52.6,43.0,8.25,13492.0
Ranchi,Clay Loam,Linseed,92,36.7,65.1,37.0,6.72,11597.0
Seraikela-Kharsawan,Sandy Loam,Mustard,147,34.0,57.9,19.4,6.97,11945.0
Simdega,Alluvial Soil,Cotton,80,21.7,46.6,31.5,2.66,9502.0
Chatra,Alluvial Soil,Sugarcane,31,35.2,54.4,9.4,3.59,15990.0
Dhanbad,Sandy Loam,Jowar,53,23.6,88.8,49.3,9.58,12790.0
Koderma,Alluvial Soil,Barley,113,24.7,57.3,39.8,8.55,13205.0
Deoghar,Laterite Soil,Ragi,34,27.9,60.9,39.4,2.07,6645.0
Palamu,Laterite Soil,Rice,31,26.3,40.3,7.7,5.67,15637.0
Chatra,Sandy Loam,Barley,139,26.4,76.0,0.9,5.16,10202.0
Giridih,Gravelly Soil,Groundnut,6,23.4,60.7,29.3,4.71,9343.0
Ranchi,Alluvial Soil,Jowar,27,25.9,45.2,7.2,4.97,10560.0
Khunti,Gravelly Soil,Millet,7,20.4,88.4,39.0,6.61,9418.0
Dumka,Alluvial Soil,Sorghum,49,29.5,78.9,20.8,9.69,14457.0
Pakur,Clay Loam,Sorghum,96,35.4,76.3,16.9,8.82,14333.0
Gumla,Alluvial Soil,Jowar,60,37.2,87.9,3.7,8.81,14319.0
Chatra,Laterite Soil,Sesame,33,36.4,60.4,49.8,7.18,12312.0
Seraikela-Kharsawan,Red Sandy Soil,Rice,47,28.3,75.9,47.8,0.67,8967.0
Sahebganj,Black Soil,Sorghum,119,34.6,50.3,6.6,4.68,11099.0
Sahebganj,Red Sandy Soil,Sunflower,27,25.8,74.9,16.6,5.36,10261.0
Seraikela-Kharsawan,Red Sandy Soil,Groundnut,22,21.1,40.7,19.5,8.5,13699.0
Pakur,Red Sandy Soil,Millet,47,33.5,46.3,14.8,9.27,15135.0
Koderma,Black Soil,Wheat,93,33.0,61.3,46.7,4.79,11017.0
Hazaribagh,Gravelly Soil,Rice,2,36.0,40.6,36.1,3.35,13710.0
Dhanbad,Black Soil,Maize,143,32.3,63.1,47.8,3.7,9281.0
Sahebganj,Gravelly Soil,Mustard,47,23.1,66.1,43.7,6.0,9153.0
Giridih,Black Soil,Sunflower,27,37.1,71.1,37.7,3.11,8833.0
Sahebganj,Black Soil,Jowar,27,32.5,45.0,34.8,9.15,14854.0
Sahebganj,Alluvial Soil,Wheat,141,36.2,49.1,43.3,4.48,11461.0
Sahebganj,Gravelly Soil,Linseed,145,35.5,70.7,34.2,9.91,14555.0
Hazaribagh,Alluvial Soil,Groundnut,75,26.0,72.9,9.4,1.54,6465.0
Hazaribagh,Clay Loam,Ragi,10,21.5,41.3,32.4,2.28,6943.0
Giridih,Alluvial Soil,Sesame,121,23.5,67.0,25.8,5.36,9484.0
Ranchi,Red Sandy Soil,Sunflower,33,21.9,79.2,49.1,8.75,12482.0
Ranchi,Sandy Loam,Wheat,126,24.9,43.5,25.5,3.86,10235.0
Khunti,Sandy Loam,Sugarcane,8,29.2,60.7,1.9,8.46,20221.0
Hazaribagh,Laterite Soil,Cotton,135,38.1,56.3,13.2,4.54,13097.0
Pakur,Laterite Soil,Sesame,71,37.4,85.7,45.9,8.6,13151.0
Deoghar,Alluvial Soil,Sesame,135,34.4,49.3,48.1,3.14,8439.0
Bokaro,Black Soil,Ragi,41,20.5,55.9,36.4,4.98,9025.0
Godda,Black Soil,Jowar,118,26.8,84.9,2.8,3.15,7727.0
Sahebganj,Sandy Loam,Cotton,55,33.6,56.5,1.2,2.54,10881.0
Deoghar,Red Sandy Soil,Maize,7,22.6,66.6,24.0,4.5,9482.0
Giridih,Gravelly Soil,Wheat,84,36.0,41.7,50.0,3.68,10729.0
Seraikela-Kharsawan,Red Sandy Soil,Groundnut,146,38.3,89.2,43.5,7.98,12964.0
Hazaribagh,Red Sandy Soil,Maize,78,27.1,81.2,46.7,7.6,12140.0
Deoghar,Alluvial Soil,Cotton,53,34.1,71.7,31.2,3.91,11245.0
Godda,Alluvial Soil,Wheat,14,23.0,43.0,43.0,9.93,15780.0
Lohardaga,Clay Loam,Maize,149,33.8,43.7,16.0,9.75,16699.0
Lohardaga,Red Sandy Soil,Rice,113,20.4,67.2,1.4,9.22,17916.0
Ranchi,Black Soil,Sorghum,57,23.0,54.3,45.9,6.07,10423.0
Chatra,Black Soil,Sunflower,91,34.2,71.1,10.9,4.42,10389.0
Deoghar,Red Sandy Soil,Barley,46,34.2,69.9,36.4,3.47,8765.0
Lohardaga,Alluvial Soil,Sesame,91,32.8,81.9,32.9,0.64,5105.0
Dhanbad,Alluvial Soil,Mustard,133,29.5,54.1,7.9,6.5,11369.0
Seraikela-Kharsawan,Clay Loam,Millet,102,33.5,68.9,9.8,5.76,11047.0
Bokaro,Clay Loam,Rice,106,35.5,78.9,16.5,6.48,16033.0
Khunti,Laterite Soil,Maize,128,39.3,64.5,37.8,5.97,12409.0
Dhanbad,Sandy Loam,Groundnut,32,37.8,81.5,2.0,1.81,7805.0
Khunti,Red Sandy Soil,Sugarcane,6,35.9,46.6,20.4,7.11,19594.0
Seraikela-Kharsawan,Black Soil,Barley,74,33.9,76.7,33.3,3.92,9043.0
Koderma,Red Sandy Soil,Millet,135,31.5,87.1,8.6,5.4,9965.0
Seraikela-Kharsawan,Clay Loam,Rice,29,22.4,56.6,6.0,3.97,13092.0
Chatra,Clay Loam,Sorghum,34,23.3,58.3,19.5,0.71,5501.0
Ranchi,Laterite Soil,Sugarcane,7,36.4,44.2,14.3,8.83,21558.0
Palamu,Sandy Loam,Sugarcane,81,36.1,72.1,32.5,1.91,13407.0
Koderma,Laterite Soil,Sugarcane,77,32.3,67.6,48.5,6.03,16962.0
Jamtara,Black Soil,Linseed,58,28.8,42.0,0.2,8.89,14406.0
Palamu,Sandy Loam,Barley,85,20.5,77.6,45.1,2.6,6120.0
Ranchi,Gravelly Soil,Sunflower,73,26.5,81.5,21.7,4.41,9081.0
Godda,Red Sandy Soil,Wheat,45,28.4,85.4,33.2,4.09,9404.0
Jamtara,Laterite Soil,Rice,47,29.7,67.3,42.6,1.35,10149.0
Dumka,Clay Loam,Linseed,77,38.6,62.6,28.7,4.52,9828.0
Dhanbad,Laterite Soil,Wheat,73,22.2,83.8,4.9,5.06,10368.0
Koderma,Gravelly Soil,Sesame,116,30.4,59.9,7.0,0.75,6153.0
Lohardaga,Laterite Soil,Jowar,30,27.4,72.8,39.5,5.14,9406.0
Lohardaga,Red Sandy Soil,Barley,71,39.8,70.8,11.5,1.39,7716.0
Seraikela-Kharsawan,Gravelly Soil,Sugarcane,145,37.2,58.6,28.5,8.98,21072.0
Sahebganj,Clay Loam,Linseed,103,28.8,44.3,21.4,6.68,11703.0
Hazaribagh,Clay Loam,Sugarcane,133,40.0,41.1,15.2,1.04,14203.0
Ranchi,Alluvial Soil,Ragi,104,30.3,61.4,39.3,8.36,13162.0
Lohardaga,Gravelly Soil,Ragi,122,23.3,64.1,36.6,3.94,8015.0
Pakur,Alluvial Soil,Linseed,129,31.1,81.1,32.3,2.64,6571.0
Giridih,Alluvial Soil,Barley,31,24.5,60.7,18.6,2.91,7867.0
Giridih,Red Sandy Soil,Sorghum,109,32.7,54.1,11.3,6.18,12201.0
Chatra,Laterite Soil,Jowar,72,38.7,63.1,25.8,1.27,7231.0
Chatra,Clay Loam,Mustard,127,35.7,51.9,40.9,1.06,5955.0
Dhanbad,Clay Loam,Groundnut,85,25.5,44.6,28.8,6.46,11796.0
Khunti,Laterite Soil,Mustard,15,25.9,45.7,48.5,9.83,13779.0
Lohardaga,Clay Loam,Wheat,56,21.4,56.0,0.8,5.09,11234.0
Lohardaga,Laterite Soil,Barley,27,25.7,40.6,49.9,4.43,9484.0
Dhanbad,Gravelly Soil,Groundnut,2,21.9,51.0,34.6,9.5,14168.0
Seraikela-Kharsawan,Red Sandy Soil,Mustard,74,30.0,79.4,41.6,2.79,6276.0
Ranchi,Red Sandy Soil,Wheat,64,34.2,51.7,16.7,2.79,10025.0
Seraikela-Kharsawan,Black Soil,Maize,5,35.0,45.5,25.4,9.1,15927.0
Godda,Red Sandy Soil,Cotton,91,21.2,87.5,39.8,6.65,12049.0
Sahebganj,Laterite Soil,Sunflower,68,26.8,71.1,38.0,1.01,5697.0
Palamu,Black Soil,Groundnut,141,25.8,43.0,16.7,6.9,12556.0
Bokaro,Laterite Soil,Millet,81,22.1,43.1,16.2,8.29,13083.0
Deoghar,Sandy Loam,Groundnut,85,27.2,70.6,33.1,3.1,7740.0
Palamu,Black Soil,Wheat,23,26.0,67.0,46.7,4.14,9496.0
Seraikela-Kharsawan,Clay Loam,Sesame,97,32.7,43.4,21.9,2.38,8210.0
Dhanbad,Clay Loam,Sunflower,124,37.7,51.2,17.6,6.52,13302.0
Lohardaga,Sandy Loam,Sugarcane,37,29.1,86.5,44.7,6.81,16931.0
Dhanbad,Sandy Loam,Sunflower,30,34.9,68.6,34.2,1.15,6798.0
Jamtara,Red Sandy Soil,Wheat,117,22.9,62.0,19.4,6.94,12682.0
Latehar,Sandy Loam,Sunflower,9,37.9,52.5,2.9,6.76,13817.0
Jamtara,Laterite Soil,Rice,132,23.1,46.7,36.1,0.83,9717.0
Hazaribagh,Alluvial Soil,Sesame,66,23.8,60.1,17.6,5.78,10305.0
Dhanbad,Laterite Soil,Sorghum,120,22.1,86.1,3.5,6.33,10487.0
Lohardaga,Black Soil,Sugarcane,124,26.2,42.4,30.6,4.59,16026.0
Chatra,Sandy Loam,Wheat,44,31.0,89.5,16.2,9.06,14851.0
Bokaro,Clay Loam,Sorghum,109,39.8,50.4,16.9,3.62,10350.0
Ranchi,Laterite Soil,Sesame,37,35.9,60.4,24.0,1.14,6738.0
Bokaro,Clay Loam,Mustard,67,27.6,42.3,35.9,6.88,11353.0
Ranchi,Laterite Soil,Cotton,60,31.5,69.2,13.8,6.25,13748.0
Latehar,Clay Loam,Wheat,36,32.5,64.2,4.0,9.9,16844.0
Lohardaga,Gravelly Soil,Mustard,49,36.5,73.3,21.2,2.7,7427.0
Seraikela-Kharsawan,Laterite Soil,Millet,107,34.7,67.1,2.7,4.26,9863.0
Palamu,Black Soil,Rice,8,31.4,59.9,34.9,4.88,14225.0
Koderma,Clay Loam,Sunflower,41,33.4,76.9,48.0,8.68,13653.0
Dhanbad,Alluvial Soil,Linseed,101,34.9,41.3,32.9,4.44,9933.0
Sahebganj,Black Soil,Maize,113,22.7,67.1,13.8,7.84,13021.0
Ranchi,Red Sandy Soil,Sunflower,109,24.0,45.7,9.1,1.99,7737.0
Lohardaga,Laterite Soil,Ragi,86,33.8,61.8,11.6,4.39,10084.0
Pakur,Alluvial Soil,Rice,78,37.0,79.6,11.1,1.97,11760.0
Khunti,Red Sandy Soil,Sugarcane,55,28.2,47.1,15.7,9.52,21313.0
Latehar,Laterite Soil,Linseed,110,39.6,86.8,4.9,2.19,7348.0
Deoghar,Alluvial Soil,Sesame,146,24.3,84.4,44.8,4.48,7782.0
Deoghar,Alluvial Soil,Cotton,65,28.3,60.7,44.3,1.28,8103.0
Simdega,Black Soil,Rice,64,27.6,40.3,30.8,9.25,18885.0
Khunti,Gravelly Soil,Sorghum,140,38.6,79.5,3.1,6.43,12443.0
Palamu,Alluvial Soil,Groundnut,118,25.7,84.0,40.2,9.64,13586.0
Hazaribagh,Gravelly Soil,Maize,42,29.4,48.7,3.1,0.9,7517.0
Ranchi,Sandy Loam,Sugarcane,117,23.7,85.8,5.3,2.16,12550.0
Gumla,Black Soil,Groundnut,50,30.4,85.7,16.3,4.11,8953.0
Ranchi,Clay Loam,Sugarcane,48,37.1,63.6,21.6,6.4,18470.0
Giridih,Black Soil,Groundnut,73,26.1,79.9,17.7,3.63,8189.0
Lohardaga,Red Sandy Soil,Jowar,136,36.2,62.2,8.3,7.26,13348.0
Khunti,Clay Loam,Cotton,135,38.2,68.2,5.6,2.07,10432.0
Bokaro,Clay Loam,Mustard,106,21.5,56.0,43.0,6.21,9520.0
Dhanbad,Gravelly Soil,Sunflower,8,35.1,48.0,18.2,4.28,10886.0
Sahebganj,Clay Loam,Rice,110,25.1,77.3,10.9,5.33,14003.0
Sahebganj,Alluvial Soil,Millet,31,23.5,40.1,24.3,5.91,10771.0
Pakur,Gravelly Soil,Groundnut,12,32.0,69.0,1.8,1.07,6864.0
Latehar,Clay Loam,Jowar,127,34.1,83.2,30.0,9.28,14094.0
Deoghar,Gravelly Soil,Cotton,57,27.9,51.1,12.4,7.97,15679.0
Dhanbad,Sandy Loam,Millet,140,20.8,56.6,29.9,4.7,8684.0
Chatra,Gravelly Soil,Ragi,27,38.2,69.4,30.7,5.7,11224.0
Giridih,Laterite Soil,Rice,46,34.6,52.3,40.5,0.81,10591.0
Sahebganj,Alluvial Soil,Jowar,135,25.4,82.4,11.5,5.23,9568.0
Latehar,Red Sandy Soil,Millet,61,29.9,58.3,23.2,4.55,9527.0
Dhanbad,Laterite Soil,Linseed,58,20.6,69.1,48.1,4.06,6985.0
Ranchi,Laterite Soil,Maize,13,26.8,51.3,36.4,8.25,13863.0
Seraikela-Kharsawan,Laterite Soil,Barley,100,30.5,42.1,48.8,2.23,7741.0
Ranchi,Clay Loam,Sunflower,49,30.3,48.7,46.4,2.17,7711.0
Dhanbad,Gravelly Soil,Sugarcane,35,24.2,42.3,30.5,5.46,16701.0
Jamtara,Gravelly Soil,Sugarcane,94,35.5,63.4,13.2,7.03,19114.0
Dumka,Black Soil,Wheat,95,26.0,69.3,37.8,0.71,6175.0
Dhanbad,Clay Loam,Ragi,145,31.6,42.2,34.9,5.69,11286.0
Palamu,Alluvial Soil,Maize,72,25.4,44.5,29.4,3.34,9157.0
Latehar,Clay Loam,Sunflower,123,28.5,64.3,34.9,7.69,12813.0
Jamtara,Clay Loam,Barley,10,24.2,80.0,30.7,4.95,9056.0
Gumla,Clay Loam,Wheat,4,32.7,71.4,26.0,8.42,14728.0
Hazaribagh,Alluvial Soil,Linseed,125,28.5,45.2,20.8,4.27,9248.0
Dumka,Black Soil,Millet,29,20.3,84.4,2.2,8.36,12014.0
Hazaribagh,Alluvial Soil,Wheat,46,20.6,85.9,43.3,7.31,11627.0
Sahebganj,Sandy Loam,Groundnut,77,29.4,56.2,43.3,8.37,13458.0
Palamu,Black Soil,Maize,59,23.7,70.8,29.7,8.22,13072.0
Ranchi,Sandy Loam,Jowar,66,31.7,64.6,13.4,5.12,10584.0
Chatra,Sandy Loam,Jowar,107,28.2,87.1,1.4,4.0,8679.0
Godda,Sandy Loam,Barley,86,33.1,65.4,0.1,7.77,13816.0
Lohardaga,Gravelly Soil,Linseed,133,39.0,88.0,3.6,3.93,9018.0
Koderma,Laterite Soil,Rice,9,30.6,50.0,18.0,1.35,11250.0
Dumka,Laterite Soil,Sesame,20,35.7,57.3,9.4,8.66,14623.0
Dhanbad,Sandy Loam,Sunflower,149,35.1,79.1,13.3,4.27,10041.0
Jamtara,Sandy Loam,Sorghum,127,38.4,79.2,35.0,1.76,7124.0
Simdega,Red Sandy Soil,Linseed,17,24.3,76.6,48.0,6.64,9712.0
Koderma,Laterite Soil,Linseed,12,36.5,83.0,10.3,8.95,13804.0
Bokaro,Red Sandy Soil,Jowar,82,38.1,75.1,23.3,8.68,14271.0
Simdega,Black Soil,Maize,67,27.9,71.8,49.6,5.77,10614.0
Seraikela-Kharsawan,Red Sandy Soil,Cotton,133,26.3,62.9,46.6,1.34,7851.0
Ranchi,Clay Loam,Sugarcane,53,39.0,63.4,17.6,7.12,19466.0
Palamu,Gravelly Soil,Cotton,147,32.6,60.3,16.0,6.28,14111.0
